GSR
522
517
525
514
507
503
497
496
498
494
495
495
494
493
492
492
494
489
488
488
488
489
489
489
491
491
489
489
489
489
488
489
489
489
489
487
488
487
488
489
487
486
488
487
486
487
487
487
486
485
487
485
486
485
485
485
485
484
485
485
486
488
484
484
484
484
484
483
482
481
481
483
482
481
481
